"y"	"x1"	"x2"	"x3"	"x4"	"x5"	"x6"	"subject"	"item"
0.50967875328383	0.869539202806409	0.455198780806101	0.454553081477134	1	0.132781842251806	0.979458981618653	"s1"	"klassen"
0.764074866172859	0.551465319320453	0.531649357745152	0.546229790552075	1	0.0918130502099692	0.219148938913846	"s1"	"schappen"
0.621293153078071	0.896814503797506	0.63096376473218	0.639214095369912	1	0.25964723499052	0.564139359343029	"s1"	"rapen"
0.539201311089237	0.414347062175734	0.661194772053452	0.442400817862235	1	0.27623221096807	0.656617145870431	"s1"	"mijnen"
0.699332603171859	0.454436741427158	0.861084548958248	0.786574067408454	1	0.0881574776710528	0.274909683941519	"s1"	"struiken"
0.545070051085967	0.560931990185345	0.86855088166693	0.574806257110328	1	0.0671609065644627	0.1373858797965	"s1"	"kalkoenen"
0.552168067384978	0.66802608107631	0.900685593012972	0.711424355735319	-1	0.138484758245807	0.314065313277952	"s1"	"lijf"
0.78290754108905	0.681013835467019	0.907752670400258	0.683860750565205	1	0.102578612351157	0.14404035572745	"s1"	"vorken"
0.484428522784583	0.539258668175757	0.914035412000939	0.895991295601771	1	0.138404081991129	0.46963465032274	"s1"	"rivieren"
0.410761513130777	0.815155331537842	0.931183671739817	0.658622895693873	-1	0.157771892996227	0.357806011491637	"s1"	"lunch"
0.53062459848147	0.581253979690713	0.95353354569296	0.900881031817219	-1	0.0456940023262878	0.103628018977053	"s1"	"radijs"
0.441443675937712	0.782118686180519	0.997124653142831	0.607591932522028	-1	0.066371330478646	0.150521493942685	"s1"	"riool"
0.613790060049427	0.653142663913142	0.527156233819096	0.871131882008382	1	0.0730253499167307	0.490554194493878	"s1"	"atleten"
0.959876630603623	0.67585197472853	0.591362720677455	0.639214095369912	-1	0.0353660625897519	0.0802056028934464	"s1"	"azuur"
0.535257617318229	0.518129470316586	0.709556342515511	0.825886013113779	-1	0.081869021426618	0.185668229398008	"s1"	"porselein"
0.417180721624689	0.503853426766203	0.715952310958224	0.464554894525548	-1	0.210727602162464	0.477902631508329	"s1"	"riet"
0.502072304824523	0.467720211153456	0.729552326472168	0.4321457888207	1	0.146479865442086	0.617634060783387	"s1"	"tenen"
0.605606585978162	0.745798900315199	0.792559870583768	0.562416652736924	1	0.0516695200693197	0.0987223029330451	"s1"	"klonten"
0.458102223921409	0.766243754414032	0.813689206087089	0.452539177366147	1	0.0958053786080441	0.133264975925396	"s1"	"worsten"
0.405089469598649	0.482147069215778	0.860389953490311	0.468524398589787	1	0.28164263898167	0.490467483684349	"s1"	"bussen"
0.544420714967615	0.688675384244288	0.877620610003327	0.732288403439789	1	0.101844323547945	0.169910684299273	"s1"	"matrassen"
0.818933590761767	0.865757700921184	0.949367417394547	0.850732657939968	-1	0.0638166177134002	0.144727739632713	"s1"	"rantsoen"
0.453603345355964	0.705692264703896	0.963540080698087	0.752675126888697	-1	0.0598703736822081	0.135778174470259	"s1"	"klavier"
0.93621453308204	0.864238490778249	0.970035900694092	0.555258765345375	1	0.088746106710833	0.19544974897026	"s1"	"barakken"
0.569252379639099	0.576999644691132	0.99089703467212	0.755549813862597	1	0.0923946311934154	0.135778174470259	"s1"	"rubrieken"
0.516513372311967	0.581859319256293	0.993216922811333	0.635937796867077	1	0.138565139387783	0.253997346257923	"s1"	"rapporten"
0.653701041746873	0.803921542529173	0.742183903421885	0.819230626034129	1	0.0201347284809895	0.141919416791564	"s1"	"vandalen"
0.478674411254777	0.555901446139297	0.746202239215119	0.544412965888324	1	0.0745546047544491	0.22168978073484	"s1"	"nieren"
0.707369701996487	0.934885463380926	0.84361449599338	0.764118650929749	-1	0.0868253019138673	0.196908425096357	"s1"	"fluweel"
0.730872120742833	0.919455901693927	0.846648226542909	0.631000653003814	1	0.113397508562119	0.223968328136685	"s1"	"kanalen"
0.625295853628655	0.794185545117503	0.854733094800766	0.194825533178105	-1	0.182375385103407	0.413603512633659	"s1"	"uur"
0.747462694920695	0.872547562898988	0.860389953490311	0.592212126632718	1	0.158321534182678	0.175734565286047	"s1"	"zessen"
0.603248402734644	0.748104794407368	0.861084548958248	0.669752505690857	1	0.182746483145204	0.433380365229477	"s1"	"geiten"
0.852185149392195	0.880374415927211	0.87314367923532	0.415488253574854	-1	0.172578582038472	0.391385645030858	"s1"	"leem"
0.669819606138786	0.656897810213499	0.884435262481733	0.626036004013412	-1	0.313261561763963	0.710436237024074	"s1"	"gier"
0.799035582491231	0.731303811910208	0.910921842393825	0.476410752616902	1	0.10700224783375	0.184759367556584	"s1"	"hanen"
0.78290754108905	0.744874088664068	0.942052511493172	0.600789211019298	1	0.097752455914989	0.119498015141987	"s1"	"taarten"
0.548306534441458	0.61022894443543	0.945532405645271	0.284399658028232	-1	0.25870572978139	0.586710747809343	"s1"	"dam"
0.646032675900462	0.532734318636099	0.970410703189283	0.501569814351481	-1	0.245996168376909	0.557887125378355	"s1"	"lijn"
0.52796147685938	0.590867832814661	0.996802275369333	0.0361105537661154	-1	0.150084988077913	0.340373116840348	"s1"	"pin"
0.474323384401463	0.554637280313055	0.998088287630855	0.458567287312503	-1	0.14262826356987	0.323462241244284	"s1"	"maan"
0.677723892107811	0.588478582025895	0.687017845126029	0.796223141291309	1	0.154777188245915	0.33839540507124	"s1"	"personen"
0.635470995470297	0.682553887476596	0.748831456422592	0.36800644709626	-1	0.096496447201775	0.218841317301086	"s1"	"bijl"
0.848224602113827	0.735077686201883	0.757738575952951	0.711424355735319	1	0.0705112773890443	0.188299402848293	"s1"	"flanken"
