"score" "frequency" "penalty" "score_prev" "duration" "trial" "item" "subject"
"241" 6.96979066990159 0.774506288766692 1 0.00146383236998737 0.181860157228643 -228.023572819514 "atleten" "s1"
"247" 6.82001636467413 0.188688128437246 0 -0.231685361061543 0.119111640808503 -222.023572819514 "fiasco" "s1"
"251" 7.38770923908104 1.03345434190267 0 0.034539084051767 0.183273585025793 -217.023572819514 "vizier" "s1"
"254" 7.52994337060159 -2.34147511293888 0 0.0388107693170774 -0.0783847140046863 -211.023572819514 "azuur" "s1"
"255" 7.13009851012558 -1.59426071110865 0 0.0155238179382868 0.0260579493629134 -208.023572819514 "bast" "s1"
"264" 6.90875477931522 -1.97375033281356 0 0.0821870436424268 0.484632882785023 -187.023572819514 "nuchterheid" "s1"
"271" 6.84054652928869 -3.44008740160699 0 -0.163661301365543 0.332569886388253 -167.023572819514 "rauwheid" "s1"
"273" 6.84268328223842 0.23198493419057 0 -0.220574135636473 0.131087831855223 -158.023572819514 "porselein" "s1"
"274" 6.78445706263764 -0.427825826101784 0 0.107974129253847 -0.170580482571297 -156.023572819514 "denker" "s1"
"275" 6.65157187358973 0.794019102990274 0 -0.244052016698763 -0.274377276252947 -154.023572819514 "riet" "s1"
"276" 6.99117688712121 0.438034052145479 0 -0.376937205746673 0.531580279294014 -153.023572819514 "genootschap" "s1"
"278" 6.79570577517351 -2.59278954121978 0 0.126106277577257 0.306690438400433 -151.023572819514 "waterschap" "s1"
"280" 6.72503364216684 2.39569751965346 0 -0.135867438164313 0.00939089687770345 -146.023572819514 "zicht" "s1"
"281" 6.78897174299217 2.25476644230491 1 -0.303475437169562 -0.310744920423817 -145.023572819514 "tenen" "s1"
"283" 6.8330317327862 2.84839054538166 0 0.0233465436194873 0.331352600784503 -139.023572819514 "gezelschap" "s1"
"291" 6.63068338564237 -1.97375033281356 0 -0.0245349426137231 0.231525536049833 -120.023572819514 "kaalheid" "s1"
"292" 6.92067150424868 -4.5386996902751 0 0.0259405787965372 0.301684170122293 -118.023572819514 "prilheid" "s1"
"298" 7.11720550316434 -2.59278954121978 0 0.170422161351767 0.520552598616943 -102.023572819514 "stevigheid" "s1"
"300" 6.95654544315157 0.223474244522661 1 0.153843032548857 -0.164562410245737 -93.0235728195142 "klonten" "s1"
"305" 7.07157336421153 -0.513347999539945 0 0.282041079198017 0.180444728825313 -79.0235728195142 "pesterij" "s1"
"308" 6.71780469502369 1.98339310789506 1 0.187465923315068 -0.287860626590227 -71.0235728195142 "worsten" "s1"
"317" 6.98656645940643 -4.5386996902751 0 0.435427525132527 0.244894719131963 -48.0235728195142 "salmiak" "s1"
"323" 6.98933526597456 0.321112714086577 0 0.333501471923327 0.419885353390874 -37.0235728195142 "gevangenschap" "s1"
"327" 7.19142933003638 -1.97375033281356 0 -0.347654400546183 0.116095047269083 -28.0235728195142 "mimosa" "s1"
"333" 6.74875954749168 1.31350278949938 0 0.172661803945277 0.169048594094443 -13.0235728195142 "kakkerlak" "s1"
"334" 6.63200177739563 3.46800115516527 1 -0.279749531844723 -0.269922925903557 -12.0235728195142 "bussen" "s1"
